,namespace,Total Conteudos,ARTICLE,Tarefas,AUDIO,EMBEDCONTENT,S.Exs,GDOCS,GSHEETS,GSLIDES,LINKCONTENT,LINKEDEXAM,PRESENTATION,VIDEO,VIDEOCONF
208,santoantonio,8,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
209,saosebastiao,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,sas,34151,22.0,611.0,0.0,56.0,12696.0,0.0,0.0,0.0,5609.0,20.0,6719.0,8418.0,0.0
211,sasadapt,26,1.0,2.0,0.0,11.0,6.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0
212,sasadaptem,112,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,29.0,26.0,0.0
213,sasadaptfund,893,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,1.0,0.0,350.0,214.0,1.0
214,saseducacao,2275,0.0,0.0,0.0,1.0,1034.0,0.0,0.0,0.0,0.0,0.0,685.0,555.0,0.0
215,senhorbonfim,600,40.0,58.0,0.0,0.0,12.0,0.0,0.0,0.0,40.0,0.0,107.0,343.0,0.0
216,serios,358,0.0,0.0,0.0,3.0,108.0,0.0,0.0,0.0,0.0,1.0,166.0,80.0,0.0
217,souhabilis,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,spdacruz,2159,102.0,629.0,0.0,0.0,75.0,18.0,0.0,5.0,102.0,0.0,931.0,297.0,0.0
219,stellamarisaguaverde,5169,2003.0,1607.0,0.0,0.0,92.0,1.0,0.0,13.0,20.0,0.0,146.0,428.0,859.0
220,stellamarisjuveve,13118,6032.0,1938.0,0.0,0.0,755.0,0.0,0.0,17.0,50.0,5.0,2338.0,1766.0,217.0
221,stellamarisxaxim,6785,3962.0,541.0,0.0,0.0,888.0,0.0,0.0,7.0,71.0,0.0,1072.0,153.0,91.0
222,tialo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
223,tiquinhodegente,10,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0
224,universitariolondrina,10690,992.0,904.0,0.0,0.0,824.0,0.0,0.0,31.0,156.0,1.0,2176.0,769.0,4837.0
225,universobarcarena,4072,2675.0,550.0,0.0,0.0,143.0,0.0,0.0,0.0,1.0,0.0,579.0,124.0,0.0
226,valdemiracoelho,756,131.0,108.0,0.0,0.0,38.0,6.0,0.0,5.0,143.0,0.0,118.0,206.0,1.0
227,venceslauchaves,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
228,vicentecravo,261,3.0,172.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,78.0,0.0
229,villalobos,6277,1503.0,419.0,1.0,0.0,1245.0,3.0,0.0,27.0,154.0,0.0,2635.0,281.0,9.0
230,zacariasliberato,136,1.0,50.0,7.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,61.0,1.0
231,zecarioca,4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
